2772 212.6758659594254 113.48 6069.0 1.87
203210 97.73337082339675 76.2 3643.0 2.09
203893 883.5053676324314 280.84000000000003 1525.0 18.42
202328 304.6457767558405 259.24 8359.0 3.1
201564 717.1176092681012 269.8 3877.0 6.96
201155 143.57594839310542 50.52 1212.0 4.17
1626170 543.7026292043213 194.84 2540.0 7.67
203499 1326.331506226807 403.96000000000004 4467.0 9.04
1626202 946.9923729993611 312.68 1702.0 18.37
201933 573.0802148456098 278.68 4518.0 6.17
1626168 59.966715377327574 34.2 1344.0 2.54
2757 701.9875130614885 239.32 2014.0 11.88
201609 1748.8360791353948 592.5600000000001 5996.0 9.88
201147 84.83091938808064 25.84 3415.0 0.76
203944 332.93551221410064 185.84 4414.0 4.21
2549 9.36584645245992 9.92 358.0 2.77
2037 327.9287591416677 150.20000000000002 5184.0 2.9
201961 130.95511703378142 59.120000000000005 3242.0 1.82
201586 40.36968453211627 28.28 2293.0 1.23
101179 611.7565182627084 260.64 2361.0 11.04
201954 1733.1892689654655 619.52 5505.0 11.25
201596 309.14078214045355 96.44 864.0 11.16
203507 717.8191986080699 338.64 9815.0 3.45
2760 810.3003419581063 447.48 14198.0 3.15
203109 217.61782629090112 104.12 4522.0 2.3
202682 263.7547542299167 105.8 2882.0 3.67
1626162 33.56088048280161 13.8 663.0 2.08
203080 61.00365007002497 42.76 1474.0 2.9
201949 150.033168710866 52.68 2580.0 2.04
1626173 26.89130880692166 14.24 1211.0 1.18
201962 380.7001216051069 125.48 1369.0 9.17
201939 23911.095314942315 7880.28 85469.0 9.22
1626151 21.526868576351543 4.64 391.0 1.19
203090 100.82640567942073 58.480000000000004 3302.0 1.77
201577 167.90571529931626 115.76 4359.0 2.66
201960 375.69818167006827 180.16 6347.0 2.84
203552 347.55383894673 110.36 2229.0 4.95
2210 2392.667165373374 1073.28 45627.0 2.35
201196 359.05710523714725 120.84 1821.0 6.64
203082 170.04607583484852 59.6 3028.0 1.97
203490 178.05991533707214 83.60000000000001 4508.0 1.85
203471 314.88376373954895 105.56 970.0 10.88
203112 133.3809492555415 89.08 4595.0 1.94
203486 286.0745677688148 165.08 4116.0 4.01
203917 424.844129581621 162.12 6027.0 2.69
203527 85.23963720151136 38.84 1235.0 3.14
204060 185.83371676189796 95.0 2653.0 3.58
201579 85.62586825497837 88.96000000000001 4052.0 2.2
202391 638.2955482672558 262.12 3853.0 6.8
203473 60.174074577235515 49.92 2922.0 1.71
202323 776.425537961705 284.2 3826.0 7.43
201935 806.6085539196858 375.92 6580.0 5.71
2736 164.68335449725268 90.64 3716.0 2.44
203458 114.34493396252387 85.32000000000001 3345.0 2.55
203083 112.08356306928951 110.96000000000001 6759.0 1.64
203481 56.5519754378133 34.4 793.0 4.34
202362 66.03430968865179 29.560000000000002 1885.0 1.57
203508 15.758126659050404 6.4 534.0 1.2
203081 1841.5851175847124 682.28 4619.0 14.77
2405 36.22779276437025 29.48 1002.0 2.94
203462 260.2941245073544 79.2 1440.0 5.5
101145 1299.70694255399 492.2 5843.0 8.42
202699 276.75539041723476 130.44 3803.0 3.43
1626204 231.55091910211522 130.08 3657.0 3.56
1626145 11.963678680293985 5.0 71.0 7.04
201973 13.372929948535477 10.76 942.0 1.14
202702 212.81312012004327 134.16 5892.0 2.28
101112 46.1238206527955 30.76 1913.0 1.61
202710 905.2823772848074 390.64 9203.0 4.24
1626157 146.99601366624256 107.32000000000001 3934.0 2.73
2755 318.0336239512251 126.88000000000001 2503.0 5.07
203078 342.33326147211244 124.2 2490.0 4.99
2571 2339.0494421658964 896.12 26837.0 3.34
202714 105.63019279930629 30.36 357.0 8.5
203138 181.29871617198214 107.16 6278.0 1.71
1626192 59.37899646820378 21.04 640.0 3.29
201585 107.45203923867632 66.36 3703.0 1.79
201941 181.83925523503234 156.64000000000001 3929.0 3.99
201229 52.093370435808424 45.68 2943.0 1.55
203498 129.79171547799302 67.16 2724.0 2.47
203096 186.24247205594847 122.04 3258.0 3.75
202718 274.5893707413733 126.4 4309.0 2.93
203115 1434.2401281714479 526.04 10587.0 4.97
201587 391.27501062710564 181.44 4132.0 4.39
2743 18.67790319814457 12.76 545.0 2.34
1626164 440.0906288500877 159.32 3826.0 4.16
101162 137.9342446266769 88.2 3784.0 2.33
203960 219.47900934908805 81.92 2617.0 3.13
1626161 72.36837360309256 39.92 2950.0 1.35
203953 360.61380072012184 161.8 7192.0 2.25
202689 2868.8839573194773 933.48 6288.0 14.85
101108 1461.08540973358 551.36 5754.0 9.58
201152 339.79778125576047 192.12 8068.0 2.38
201619 90.43856139970357 58.2 2326.0 2.5
202693 52.568062646129356 38.64 1027.0 3.76
202338 26.063508796181587 24.96 860.0 2.9
203457 334.3844182679218 218.20000000000002 8099.0 2.69
202685 127.27668803699976 105.4 3488.0 3.02
2734 271.6980840293192 97.0 2333.0 4.16
202335 154.58653713338313 100.32000000000001 6193.0 1.62
202684 1857.3726402800548 1255.1200000000001 68570.0 1.83
203186 43.63532828406364 29.28 1217.0 2.41
203101 47.71791493432992 27.68 1248.0 2.22
201603 89.6742059799014 33.92 1682.0 2.02
203086 98.75638070907448 77.68 3390.0 2.29
203460 32.315717829008825 19.28 1258.0 1.53
2403 33.37748404712131 17.12 708.0 2.42
203924 275.04303802794067 146.56 6144.0 2.39
1626196 35.92449616856406 13.96 684.0 2.04
201569 503.604316727825 188.16 5329.0 3.53
203516 6.237699347359636 2.56 88.0 2.91
203187 1.7778685653945012 1.32 81.0 1.63
1626144 1517.1731771059851 526.52 4792.0 10.99
203934 52.14588230705258 25.84 1298.0 1.99
203897 1264.4988198730339 409.28000000000003 2868.0 14.27
202324 322.4753497393797 235.48000000000002 6159.0 3.82
201593 24.17652322990289 20.32 927.0 2.19
101127 1846.3623129695952 644.84 6992.0 9.22
203939 95.25948235806132 46.4 1760.0 2.64
203526 811.8856697065646 255.12 2562.0 9.96
204025 582.3444974761759 230.96 1651.0 13.99
2581 479.23713905934176 167.04 1523.0 10.97
1626169 260.22492183068823 93.52 4120.0 2.27
2547 221.81046488472265 195.48000000000002 6313.0 3.1
203948 49.969076402276905 38.68 2373.0 1.63
2440 189.33718160614174 108.68 4162.0 2.61
1717 116.1169945517315 106.08 3991.0 2.66
2756 132.3090566255533 53.24 1310.0 4.06
2034 105.56135064453191 65.52 1861.0 3.52
201589 218.30197517590904 141.36 6598.0 2.14
202681 5619.929748222785 2333.48 25963.0 8.99
201952 389.7382477279697 125.68 1553.0 8.09
1626209 456.06086035368 195.0 3710.0 5.26
2199 121.8377182842739 109.4 2775.0 3.94
202329 175.63623779627812 87.92 4411.0 1.99
202340 224.00808151594737 94.16 4105.0 2.29
202700 5.561379608998402 5.12 375.0 1.37
203476 81.05518425369061 59.32 2335.0 2.54
1626159 147.164319207194 91.16 3712.0 2.46
202337 62.93334132544034 45.4 2150.0 2.11
204456 1488.5805809908875 434.04 4351.0 9.98
201144 2129.3279046366306 715.88 5340.0 13.41
200755 114.3505183602458 39.52 3458.0 1.14
1626154 5.176795807489363 2.96 160.0 1.85
201599 121.8603899517947 81.12 6360.0 1.28
200826 1049.1809018918125 365.88 2612.0 14.01
2590 9955.332900650257 3581.76 37012.0 9.68
201142 135.9259010556754 69.12 2432.0 2.84
203503 216.46566923780188 86.08 6540.0 1.32
201568 670.7944075326545 339.12 8913.0 3.8
2585 134.94859754246414 96.48 3378.0 2.86
201581 78.95329390694161 37.6 1002.0 3.75
203469 168.00260562681422 79.60000000000001 3611.0 2.2
203999 358.7371717069517 175.12 5275.0 3.32
203459 276.1422871797282 121.08 5705.0 2.12
1626158 46.9529054775347 35.68 2235.0 1.6
200745 16.01165636807801 15.16 2283.0 0.66
202709 1875.1079582607015 699.24 5756.0 12.15
202713 7.888108870795982 3.12 1004.0 0.31
201978 161.7804235265698 64.96000000000001 3002.0 2.16
201578 968.2231769516939 715.92 22102.0 3.24
201158 381.48337356348725 191.32 6642.0 2.88
202390 69.06289878449364 37.160000000000004 1245.0 2.98
203909 28.62815997166479 9.72 513.0 1.89
202696 137.3389499784118 116.68 3621.0 3.22
203900 152.0565444509058 57.800000000000004 2196.0 2.63
977 406.8377446700951 173.72 3129.0 5.55
202708 137.84548730719564 51.84 940.0 5.51
203925 39.4573319923146 28.28 906.0 3.12
203940 5.595858537911873 3.96 182.0 2.18
203105 1400.2207618601765 925.36 42015.0 2.2
204038 564.6823150411179 248.20000000000002 4995.0 4.97
201150 89.60602993051332 67.36 2738.0 2.46
202326 270.0793096941045 134.0 2566.0 5.22
202339 1123.2644339268868 387.64 3945.0 9.83
202683 33.021586650386915 28.68 1107.0 2.59
202379 11.915021371787027 6.88 323.0 2.13
204067 11.42225873313723 7.12 468.0 1.52
200768 2631.882952495316 1070.28 8981.0 11.92
201572 209.40871704403114 131.0 8391.0 1.56
202344 136.38434383948623 95.4 3412.0 2.8
201143 84.6685471282343 56.36 2013.0 2.8
201950 1004.8774859521754 332.68 3106.0 10.71
201951 432.5674068140641 147.68 3562.0 4.15
202734 762.5096530509375 272.56 3529.0 7.72
1897 102.65977031960664 58.24 2026.0 2.87
1626147 18.04183456856966 6.28 311.0 2.02
203477 1148.2005070553837 335.24 4419.0 7.59
2207 387.52374611610117 216.20000000000002 8890.0 2.43
